Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Polo Nautico,https://www.hotelpolonautico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Polo+Nautico+Salerno,Hotel 4 stelle,3,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,30 camere unico hotel sul lungomare di Salerno vista mare indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Polo Nautico; Hotel 4 stelle; Salerno; 30 camere unico hotel sul lungomare di Salerno vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Lloyd's Baia Hotel,https://www.lloydsbaiahotel.it,https://www.google.com/maps/search/?api=1&query=Lloyd%27s+Baia+Hotel+Vietri+sul+Mare,Hotel 4 stelle,3,info@lloydsbaiahotel.it,,,2026-06-10,,No,Vietri sul Mare,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via de Marinis 2 a picco sulle rocce vista Golfo wedding venue. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Lloyd's Baia Hotel; Hotel 4 stelle; Vietri sul Mare; Via de Marinis 2 a picco sulle rocce vista Golfo wedding venue; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Raito,https://www.hotelraito.it,https://www.google.com/maps/search/?api=1&query=Hotel+Raito+Vietri+sul+Mare,Hotel 5 stelle,2,reservations@hotelraito.it,,,2026-06-10,,No,Vietri sul Mare,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Via Nuova Raito 9 lusso gruppo RHC vista costiera riaperto 2026. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Raito; Hotel 5 stelle; Vietri sul Mare; Via Nuova Raito 9 lusso gruppo RHC vista costiera riaperto 2026; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Bristol,https://www.hotelbristolvietri.it,https://www.google.com/maps/search/?api=1&query=Hotel+Bristol+Vietri+sul+Mare,Hotel 4 stelle,3,info@hotelbristolvietri.com,,,2026-06-10,,No,Vietri sul Mare,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Colombo 2 ascensore privato per solarium e giardino. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Bristol; Hotel 4 stelle; Vietri sul Mare; Via Colombo 2 ascensore privato per solarium e giardino; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Vietri Coast,https://www.hotelvietricoast.com,https://www.google.com/maps/search/?api=1&query=Hotel+Vietri+Coast+Vietri+sul+Mare,Hotel 3 stelle,3,info@hotelvietricoast.it,,,2026-06-10,,No,Vietri sul Mare,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,16 camere Via Costabile 31 vista mare suite con idromassaggio. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Vietri Coast; Hotel 3 stelle; Vietri sul Mare; 16 camere Via Costabile 31 vista mare suite con idromassaggio; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Voce del Mare,https://vocedelmare.it,https://www.google.com/maps/search/?api=1&query=Hotel+Voce+del+Mare+Vietri+sul+Mare,Hotel,3,direzione@vocedelmare.it,,,2026-06-10,,No,Vietri sul Mare,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Costiera Amalfitana 21 ristorante relax fronte mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Voce del Mare; Hotel; Vietri sul Mare; Via Costiera Amalfitana 21 ristorante relax fronte mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Le Sirenuse,https://sirenuse.it,https://www.google.com/maps/search/?api=1&query=Le+Sirenuse+Positano,Hotel 5 stelle lusso,2,info@sirenuse.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Villa '700 famiglia Sersale 58 camere ristorante stellato La Sponda icona lusso indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Le Sirenuse; Hotel 5 stelle lusso; Positano; Villa '700 famiglia Sersale 58 camere ristorante stellato La Sponda icona lusso indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Il San Pietro di Positano,https://www.ilsanpietro.com,https://www.google.com/maps/search/?api=1&query=Il+San+Pietro+di+Positano+Positano,Hotel 5 stelle lusso,2,info@ilsanpietro.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Relais & Chateaux 57 camere strapiombo sul mare spiaggia privata ristorante stellato Zass. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Il San Pietro di Positano; Hotel 5 stelle lusso; Positano; Relais & Chateaux 57 camere strapiombo sul mare spiaggia privata ristorante stellato Zass; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Treville,https://villatreville.com,https://www.google.com/maps/search/?api=1&query=Villa+Treville+Positano,Hotel 5 stelle lusso boutique,2,contact@villatreville.com,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Ex residenza Zeffirelli 4 ville giardini scogliera ultra-luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Treville; Hotel 5 stelle lusso boutique; Positano; Ex residenza Zeffirelli 4 ville giardini scogliera ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Le Agavi,https://www.leagavi.it,https://www.google.com/maps/search/?api=1&query=Hotel+Le+Agavi+Positano,Hotel 5 stelle lusso,2,booking@leagavipositano.com,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Terrazze panoramiche funicolare privata alla spiaggia lusso. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Le Agavi; Hotel 5 stelle lusso; Positano; Terrazze panoramiche funicolare privata alla spiaggia lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Franca,https://www.villafrancahotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Franca+Positano,Hotel 5 stelle,2,info@villafrancahotel.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Collina sopra la baia rooftop con piscina Small Luxury Hotels. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Franca; Hotel 5 stelle; Positano; Collina sopra la baia rooftop con piscina Small Luxury Hotels; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Palazzo Murat,https://palazzomurat.it,https://www.google.com/maps/search/?api=1&query=Hotel+Palazzo+Murat+Positano,Hotel 4 stelle,3,info@palazzomurat.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Palazzo storico '700 cuore di Positano giardino botanico boutique. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Palazzo Murat; Hotel 4 stelle; Positano; Palazzo storico '700 cuore di Positano giardino botanico boutique; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Covo dei Saraceni,https://www.covodeisaraceni.it,https://www.google.com/maps/search/?api=1&query=Hotel+Covo+dei+Saraceni+Positano,Hotel 5 stelle,2,info@covodeisaraceni.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Accesso diretto a Marina Grande e al molo lusso indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Covo dei Saraceni; Hotel 5 stelle; Positano; Accesso diretto a Marina Grande e al molo lusso indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Magia,https://villamagiapositano.com,https://www.google.com/maps/search/?api=1&query=Villa+Magia+Positano,Boutique resort lusso,2,,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Ex torre di avvistamento '700 boutique gestione familiare piscina vista mare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Magia; Boutique resort lusso; Positano; Ex torre di avvistamento '700 boutique gestione familiare piscina vista mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Casa Angelina,https://www.casangelina.com,https://www.google.com/maps/search/?api=1&query=Casa+Angelina+Praiano,Hotel 5 stelle lusso boutique,2,reservations@casangelina.com,,,2026-06-10,,No,Praiano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Leading Hotels of the World 36 camere design vista Positano Capri ristorante stellato. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Casa Angelina; Hotel 5 stelle lusso boutique; Praiano; Leading Hotels of the World 36 camere design vista Positano Capri ristorante stellato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Tramonto d'Oro,https://www.tramontodoro.it,https://www.google.com/maps/search/?api=1&query=Hotel+Tramonto+d%27Oro+Praiano,Hotel 4 stelle,3,info@tramontodoro.it,,,2026-06-10,,No,Praiano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Famiglia Esposito 38 camere panoramica piscina rooftop indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Tramonto d'Oro; Hotel 4 stelle; Praiano; Famiglia Esposito 38 camere panoramica piscina rooftop indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Onda Verde,https://www.ondaverde.it,https://www.google.com/maps/search/?api=1&query=Hotel+Onda+Verde+Praiano,Hotel 4 stelle,3,info@hotelondaverde.com,,,2026-06-10,,No,Praiano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,A picco sul mare vicino spiaggia e borgo piscina gestione familiare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Onda Verde; Hotel 4 stelle; Praiano; A picco sul mare vicino spiaggia e borgo piscina gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Margherita,https://www.hotelmargherita.info,https://www.google.com/maps/search/?api=1&query=Hotel+Margherita+Praiano,Hotel 4 stelle,3,,,,2026-06-10,,No,Praiano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Gestione familiare vista Costiera terrazza solarium idromassaggio. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Margherita; Hotel 4 stelle; Praiano; Gestione familiare vista Costiera terrazza solarium idromassaggio; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Furore Grand Hotel,https://www.furoregrandhotel.com,https://www.google.com/maps/search/?api=1&query=Furore+Grand+Hotel+Furore,Hotel 5 stelle lusso,2,,,,2026-06-10,,No,Furore,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Small Luxury Hotels terrazza sul mare spa piscina design minimalista lusso. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Furore Grand Hotel; Hotel 5 stelle lusso; Furore; Small Luxury Hotels terrazza sul mare spa piscina design minimalista lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Monastero Santa Rosa,https://monasterosantarosa.com,https://www.google.com/maps/search/?api=1&query=Monastero+Santa+Rosa+Conca+dei+Marini,Hotel 5 stelle lusso,2,info@monasterosantarosa.com,,,2026-06-10,,No,Conca dei Marini,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Ex monastero '600 20 camere spa premiata giardini terrazzati ultra-luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Monastero Santa Rosa; Hotel 5 stelle lusso; Conca dei Marini; Ex monastero '600 20 camere spa premiata giardini terrazzati ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
