Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Albergo Santa Rosa,https://www.albergosantarosa.it,https://www.google.com/maps/search/?api=1&query=Albergo+Santa+Rosa+Salerno,Albergo / B&B,4,info@albergosantarosa.it,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Corso Vittorio Emanuele 14 vicino stazione e porto gestione familiare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Albergo Santa Rosa; Albergo / B&B; Salerno; Corso Vittorio Emanuele 14 vicino stazione e porto gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Montestella 1914,https://montestella1914.it,https://www.google.com/maps/search/?api=1&query=Hotel+Montestella+1914+Salerno,Hotel 3 stelle,3,info@montestella1914.it,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,47 camere Corso Vittorio Emanuele 156 zona pedonale gestione familiare storica. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Montestella 1914; Hotel 3 stelle; Salerno; 47 camere Corso Vittorio Emanuele 156 zona pedonale gestione familiare storica; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel Salerno,https://www.grandhotelsalerno.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Salerno+Salerno,Hotel 4 stelle,3,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lungomare Tafuri 1 congressi cerimonie benessere vista mare indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Grand Hotel Salerno; Hotel 4 stelle; Salerno; Lungomare Tafuri 1 congressi cerimonie benessere vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Albergo del Centro Storico,http://albergodelcentrostorico.com,https://www.google.com/maps/search/?api=1&query=Albergo+del+Centro+Storico+Salerno,Albergo / B&B,4,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Piccola struttura nel centro storico. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Albergo del Centro Storico; Albergo / B&B; Salerno; Piccola struttura nel centro storico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
B&B Salerno Antica,https://www.salernoantica.com,https://www.google.com/maps/search/?api=1&query=B%26B+Salerno+Antica+Salerno,B&B dimora storica,4,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Ex convento del 1500 Via Masuccio Salernitano 8 centro storico. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,B&B Salerno Antica; B&B dimora storica; Salerno; Ex convento del 1500 Via Masuccio Salernitano 8 centro storico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
B&B In Centro Storico Salerno,https://www.incentrostoricosalerno.it,https://www.google.com/maps/search/?api=1&query=B%26B+In+Centro+Storico+Salerno+Salerno,B&B,4,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Dimora su Piazza Sant'Agostino centro storico. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,B&B In Centro Storico Salerno; B&B; Salerno; Dimora su Piazza Sant'Agostino centro storico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Salerno Centro dimora storica,https://www.salernocentro.it,https://www.google.com/maps/search/?api=1&query=Salerno+Centro+dimora+storica+Salerno,B&B dimora storica,4,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Convento del XVI secolo posizione molto centrale. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Salerno Centro dimora storica; B&B dimora storica; Salerno; Convento del XVI secolo posizione molto centrale; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Salerno Incoming DMC,https://www.salernoincoming.it,https://www.google.com/maps/search/?api=1&query=Salerno+Incoming+DMC+Salerno,Tour operator / DMC incoming,3,tour@salernoincoming.it,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Luigi Guercio 277 oltre 20 anni soggiorni tour transfer Salerno-Costiera-Cilento. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Salerno Incoming DMC; Tour operator / DMC incoming; Salerno; Via Luigi Guercio 277 oltre 20 anni soggiorni tour transfer Salerno-Costiera-Cilento; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Campania Incoming,https://www.campaniaincoming.it,https://www.google.com/maps/search/?api=1&query=Campania+Incoming+Salerno,Tour operator incoming,3,info@campaniaincoming.it,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Tour ed itinerari esperienziali in tutta la Campania partner B2B. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Campania Incoming; Tour operator incoming; Salerno; Tour ed itinerari esperienziali in tutta la Campania partner B2B; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Scapolatiello,https://www.hotelscapolatiello.it,https://www.google.com/maps/search/?api=1&query=Hotel+Scapolatiello+Cava+de%27+Tirreni,Hotel,3,direzione@hotelscapolatiello.it,,,2026-06-10,,No,Cava de' Tirreni,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Piazza Risorgimento 1 Badia di Cava terrazza panoramica piscina. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Scapolatiello; Hotel; Cava de' Tirreni; Piazza Risorgimento 1 Badia di Cava terrazza panoramica piscina; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Victoria Maiorino,http://www.victoria-hotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Victoria+Maiorino+Cava+de%27+Tirreni,Hotel,3,info@victoria-hotel.it,,,2026-06-10,,No,Cava de' Tirreni,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Corso Mazzini 4 vicino centro storico famiglia albergatori dal 1886. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Victoria Maiorino; Hotel; Cava de' Tirreni; Corso Mazzini 4 vicino centro storico famiglia albergatori dal 1886; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
